chave,grupo,modelo,rmse,mae,r2,desvio_tweedie_1_5,gini,vies_pct,previsoes_negativas,rmse_desvio_particoes,auc_perda,delta_rmse_vs_melhor,delta_rmse_vs_melhor_desvio,particoes_melhores_que_melhor,delta_rmse_vs_motor_atual,delta_rmse_vs_motor_atual_desvio,particoes_melhores_que_motor_atual
ref_resultado,vazamento (referência),Sabendo o resultado: causa × razão média do resultado na UF,1056.266301,449.477863,0.963316,3.960830,0.990696,-0.043221,0,11.900395,,-2665.679192,59.073779,5,-2666.286959,58.920150,5
ref_perda,vazamento (referência),Sabendo se perdeu: perda × causa × severidade UF×sub,1555.375083,687.322199,0.920456,5.005720,0.980207,-0.100520,0,12.604802,,-2166.557639,51.224594,5,-2167.165406,51.078970,5
ab_sem_dossie_laudo,ablação P(perda),sem dossie e laudo,3722.166068,2217.415533,0.544460,124.918236,0.812375,0.001935,0,50.512498,0.922625,0.000000,0.000000,0,-0.607768,0.832052,3
ab_mais_origem,ablação P(perda),+ código de origem do CNJ (codificado fora da amostra),3722.216696,2217.421697,0.544448,124.939339,0.812319,0.000803,0,50.194676,0.922621,0.054072,0.769823,3,-0.553696,0.454035,5
ab_sem_laudo,ablação P(perda),sem laudo,3722.438899,2217.502067,0.544393,124.907856,0.812362,0.000147,0,50.413878,0.922642,0.273920,0.687466,2,-0.333847,0.496026,4
ab_sem_dossie,ablação P(perda),sem dossie,3722.499398,2217.557438,0.544379,124.940502,0.812311,0.003195,0,50.443723,0.922607,0.334100,0.501513,1,-0.273667,0.692702,3
dp_mq_docs,duas partes,Logística × causa × MQO severidade ~ subsídios + golpe + UF,3722.565738,2216.126285,0.544362,124.934694,0.812313,0.007071,0,49.991046,0.922627,0.405331,1.407462,3,-0.202437,1.296198,3
tres_partes_docs,três partes,"idem, com subsídios em P(total | perda)",3722.566072,2215.836943,0.544362,124.924133,0.812327,-0.005236,0,49.839447,0.922627,0.407291,1.081476,2,-0.200476,0.694793,3
dp_mq_causa,duas partes,Logística × causa × MQO severidade ~ golpe + UF + causa,3722.587475,2217.961690,0.544357,124.935435,0.812309,0.100378,0,50.158484,0.922627,0.425268,1.166767,3,-0.182500,1.008966,3
tres_partes,três partes,Logística × [P(total) × razão total + P(parcial) × razão parcial] × causa,3722.620932,2217.124757,0.544349,124.927155,0.812321,-0.004044,0,50.048909,0.922627,0.459907,1.091047,1,-0.147861,0.581050,3
dp_mq_ufg,duas partes,Logística × causa × MQO severidade ~ golpe + UF,3722.687996,2217.861035,0.544333,124.934524,0.812308,0.006908,0,50.123138,0.922627,0.526177,1.364651,2,-0.081591,1.151871,3
emp_platt,empilhamento,P(perda) recalibrada por logística no logit × causa × severidade UF×sub,3722.755702,2219.626784,0.544316,124.930508,0.812302,-0.008477,0,50.304157,,0.591935,0.849075,2,-0.015833,0.059417,3
emp_mq_pcs,empilhamento,MQO sem intercepto: condenação ~ P(perda) × causa × severidade UF×sub,3722.764647,2217.630332,0.544314,124.929637,0.812302,-0.015380,0,50.355037,,0.600330,0.844232,2,-0.007438,0.020230,2
dp_ufsub,duas partes,Logística × causa × severidade por UF e sub-assunto (motor atual),3722.771988,2217.646630,0.544312,124.929986,0.812300,0.001413,0,50.346138,0.922627,0.607768,0.832052,2,0.000000,0.000000,0
emp_mq_pcs_arquivo,empilhamento,MQO ~ P(perda) do arquivo salvo × causa × severidade UF×sub,3722.853467,2217.546991,0.544292,124.930473,0.812298,-0.020173,0,50.340748,,0.689310,0.905032,2,0.081543,0.137057,1
dp_ufsub_w1,duas partes,"idem, severidade ponderada por causa",3722.862474,2218.068162,0.544290,124.930113,0.812294,0.091875,0,50.500570,0.922627,0.696586,0.755714,1,0.088819,0.197060,2
dp_gama_docs,duas partes,Logística × causa × Gama severidade ~ subsídios + golpe + UF,3722.925963,2216.121104,0.544274,124.946255,0.812274,0.013245,0,50.044070,0.922627,0.765012,1.592434,2,0.157245,1.425330,3
ab_mais_logcausa,ablação P(perda),+ log(valor da causa),3722.955319,2216.202241,0.544267,124.934099,0.812280,-0.144909,0,50.646386,0.922632,0.787854,0.962630,2,0.180086,0.437397,2
ab_mais_causa,ablação P(perda),+ valor da causa,3722.993005,2216.630835,0.544258,124.934826,0.812277,-0.105984,0,50.654182,0.922628,0.825458,0.965802,2,0.217690,0.429214,2
