processo,perda,condenacao,previsto_melhor,previsto_motor_atual
1764352-89.2025.8.06.1818,1,7714.38,8239.69,8239.17
5638325-36.2025.8.17.4124,1,3784.14,804.81,815.09
1037491-89.2025.8.18.1658,1,6507.10,2425.74,2501.66
9547931-23.2025.8.04.4188,0,0.00,432.38,433.32
9999446-69.2025.8.04.4264,0,0.00,6445.65,6441.62
2412149-28.2025.8.24.1145,1,12720.80,271.23,274.39
8874499-95.2025.8.07.3223,1,11180.00,6987.03,6999.96
1917160-43.2025.8.07.3360,0,0.00,750.38,747.09
6064536-08.2025.8.05.2439,1,9773.11,11463.03,11482.69
1921027-43.2025.8.15.3964,0,0.00,1558.57,1566.55
6140081-15.2025.8.25.2962,0,0.00,703.58,706.94
4240001-27.2025.8.10.0476,0,0.00,152.39,151.74
4060328-48.2025.8.03.5952,1,17089.90,15028.59,15027.88
3958810-04.2025.8.11.6659,0,0.00,560.26,566.42
7535845-01.2025.8.20.6188,0,0.00,290.93,301.86
9250401-05.2025.8.12.3576,0,0.00,396.09,415.85
2778665-68.2025.8.14.3195,0,0.00,449.07,451.30
2401594-98.2025.8.21.9938,0,0.00,1507.43,1571.16
6418008-51.2025.8.09.7653,0,0.00,392.37,390.85
6088311-10.2025.8.15.8003,0,0.00,516.95,512.11
1768099-89.2025.8.12.6388,0,0.00,874.04,869.70
2716081-88.2025.8.19.8813,0,0.00,2036.54,2023.87
1996289-38.2025.8.13.1427,1,11246.91,14996.23,14995.13
6525750-71.2025.8.07.2464,0,0.00,2814.13,2944.58
2933175-05.2025.8.14.8934,0,0.00,689.16,686.27
8242761-70.2025.8.25.4530,1,16700.63,1786.52,1795.12
5764134-07.2025.8.09.1923,1,11413.69,10039.61,10040.01
2745205-35.2025.8.02.4268,1,10048.12,7244.21,7269.92
4457574-26.2025.8.25.5559,0,0.00,158.19,156.49
2521217-81.2025.8.07.5399,0,0.00,80.31,80.76
4937049-13.2025.8.04.5655,1,23354.00,16941.11,16966.44
5250775-41.2025.8.21.7819,1,8129.60,5101.91,5112.59
6004002-19.2025.8.11.3369,0,0.00,104.71,105.23
8275953-90.2025.8.22.5835,0,0.00,304.47,296.05
8968643-90.2025.8.17.4196,1,5180.27,5291.23,5301.83
3560488-21.2025.8.20.3063,0,0.00,114.78,114.54
6499469-09.2025.8.12.9260,0,0.00,111.56,114.53
8355122-71.2025.8.09.1223,0,0.00,3713.29,3604.84
7893459-62.2025.8.03.6963,0,0.00,2366.86,2357.43
1692558-47.2025.8.22.3884,0,0.00,164.44,160.02
7993277-24.2025.8.12.8327,0,0.00,322.97,325.95
2905818-71.2025.8.25.6327,1,7260.50,12298.11,12288.80
4677301-60.2025.8.26.9537,1,7313.55,9251.59,9251.18
2130223-97.2025.8.14.0588,0,0.00,412.73,406.16
1157075-12.2025.8.02.5425,0,0.00,385.31,387.30
3856154-88.2025.8.16.3659,1,14597.71,11017.33,11053.99
7336153-17.2025.8.04.8332,1,4561.72,3514.96,3534.70
4907807-90.2025.8.21.2049,1,10053.55,10850.01,10852.79
7777075-57.2025.8.05.7238,0,0.00,973.34,970.29
5462979-94.2025.8.20.1705,0,0.00,176.74,177.66
3087363-18.2025.8.01.6040,0,0.00,143.48,149.04
8067389-33.2025.8.09.6205,0,0.00,640.10,606.77
5670220-02.2025.8.16.3360,1,13550.09,1984.66,1994.08
4488778-24.2025.8.05.0365,0,0.00,736.55,732.79
3285286-56.2025.8.06.1086,0,0.00,296.62,300.19
3977227-33.2025.8.26.3787,1,10243.37,11280.23,11281.02
2193662-31.2025.8.21.5489,1,7403.32,5229.82,5285.34
7254509-93.2025.8.13.6622,1,12390.48,14747.23,14748.30
4111030-08.2025.8.19.2954,0,0.00,510.40,515.67
9474303-36.2025.8.11.5936,0,0.00,123.92,118.91
5745565-79.2025.8.08.6679,0,0.00,846.66,850.14
8265089-30.2025.8.05.0968,1,3748.80,4569.51,4563.65
7482626-28.2025.8.21.5864,0,0.00,661.91,659.40
5722231-63.2025.8.12.6403,0,0.00,504.84,489.84
4375572-31.2025.8.03.7754,1,12669.78,7484.12,7477.46
1126172-80.2025.8.25.1383,1,5103.33,4783.00,4788.18
4379428-87.2025.8.27.6305,0,0.00,308.27,300.03
9052544-12.2025.8.18.3595,0,0.00,424.14,421.19
1160202-57.2025.8.07.2189,1,7379.13,538.17,541.06
7534767-25.2025.8.14.5207,0,0.00,684.31,681.15
8244365-69.2025.8.22.8702,0,0.00,403.49,387.20
5377838-64.2025.8.22.1960,0,0.00,893.07,902.56
4664636-83.2025.8.24.3322,1,23077.20,16505.80,16504.88
3317432-66.2025.8.02.3532,0,0.00,151.10,147.00
1036167-99.2025.8.18.7221,1,12646.68,4688.96,4723.38
4713499-59.2025.8.01.9891,1,12325.50,8355.93,8348.45
