processo,uf,golpe,contrato,extrato,comprovante,dossie,demonstrativo,laudo,perda,p_perda_validacao
1764352-89.2025.8.06.1818,CE,0,0,0,0,1,1,1,1,0.960371
5638325-36.2025.8.17.4124,PE,1,1,1,0,1,1,1,1,0.148340
1037491-89.2025.8.18.1658,PI,1,0,1,1,1,1,0,1,0.415282
9547931-23.2025.8.04.4188,AM,1,1,1,1,1,1,0,0,0.088875
9999446-69.2025.8.04.4264,AM,1,0,1,0,1,1,1,0,0.883393
2412149-28.2025.8.24.1145,SC,0,1,1,1,1,0,1,1,0.024955
8874499-95.2025.8.07.3223,DF,1,1,0,0,1,0,1,1,0.875627
1917160-43.2025.8.07.3360,DF,1,1,1,1,1,1,1,0,0.052859
6064536-08.2025.8.05.2439,BA,1,0,1,0,1,0,1,1,0.879236
1921027-43.2025.8.15.3964,PB,1,1,1,0,1,1,1,0,0.135463
6140081-15.2025.8.25.2962,SE,1,1,1,1,1,1,1,0,0.045697
4240001-27.2025.8.10.0476,MA,1,1,1,1,1,1,1,0,0.028409
4060328-48.2025.8.03.5952,AP,0,0,0,0,1,1,1,1,0.982504
3958810-04.2025.8.11.6659,MT,0,1,1,0,1,1,1,0,0.044239
7535845-01.2025.8.20.6188,RN,1,1,1,1,0,1,0,0,0.039075
9250401-05.2025.8.12.3576,MS,1,1,1,1,1,1,0,0,0.037184
2778665-68.2025.8.14.3195,PA,1,1,1,1,1,1,1,0,0.040834
2401594-98.2025.8.21.9938,RS,1,1,1,0,1,1,0,0,0.212760
6418008-51.2025.8.09.7653,GO,1,1,1,1,1,1,1,0,0.059639
6088311-10.2025.8.15.8003,PB,1,1,1,0,0,1,1,0,0.126223
1768099-89.2025.8.12.6388,MS,1,1,1,0,1,1,1,0,0.116576
2716081-88.2025.8.19.8813,RJ,1,1,1,0,1,1,1,0,0.184492
1996289-38.2025.8.13.1427,MG,1,0,0,1,1,0,1,1,0.971464
6525750-71.2025.8.07.2464,DF,1,1,1,0,1,1,0,0,0.183215
2933175-05.2025.8.14.8934,PA,0,1,1,0,1,1,1,0,0.053062
8242761-70.2025.8.25.4530,SE,1,1,1,0,1,1,1,1,0.135263
5764134-07.2025.8.09.1923,GO,1,0,0,0,1,0,1,1,0.994615
2745205-35.2025.8.02.4268,AL,1,0,0,1,1,1,0,1,0.955821
4457574-26.2025.8.25.5559,SE,0,1,1,1,0,1,1,0,0.016618
2521217-81.2025.8.07.5399,DF,0,1,1,1,1,1,1,0,0.019114
4937049-13.2025.8.04.5655,AM,1,1,0,1,1,0,1,1,0.773538
5250775-41.2025.8.21.7819,RS,1,0,1,1,1,1,1,1,0.594315
6004002-19.2025.8.11.3369,MT,0,1,1,1,1,1,1,0,0.012544
8275953-90.2025.8.22.5835,RO,0,1,1,0,0,1,1,0,0.042757
8968643-90.2025.8.17.4196,PE,0,0,0,1,1,1,1,1,0.880358
3560488-21.2025.8.20.3063,RN,0,1,1,1,1,1,1,0,0.012137
6499469-09.2025.8.12.9260,MS,0,1,1,1,1,1,0,0,0.012741
8355122-71.2025.8.09.1223,GO,1,1,1,0,0,0,1,0,0.269338
7893459-62.2025.8.03.6963,AP,1,1,1,0,1,1,1,0,0.265236
1692558-47.2025.8.22.3884,RO,0,1,1,1,0,0,1,0,0.021859
7993277-24.2025.8.12.8327,MS,1,1,1,1,1,1,1,0,0.033328
2905818-71.2025.8.25.6327,SE,1,0,0,0,0,1,1,1,0.985998
4677301-60.2025.8.26.9537,SP,1,0,0,0,1,1,1,1,0.986902
2130223-97.2025.8.14.0588,PA,1,1,1,1,0,1,0,0,0.037119
1157075-12.2025.8.02.5425,AL,1,1,1,1,1,1,1,0,0.047178
3856154-88.2025.8.16.3659,PR,1,0,1,0,1,1,1,1,0.731425
7336153-17.2025.8.04.8332,AM,1,0,1,0,1,1,0,1,0.895839
4907807-90.2025.8.21.2049,RS,1,0,0,0,1,1,0,1,0.991080
7777075-57.2025.8.05.7238,BA,1,1,1,1,1,1,1,0,0.049661
5462979-94.2025.8.20.1705,RN,0,1,1,1,1,1,1,0,0.013525
3087363-18.2025.8.01.6040,AC,0,1,1,1,0,1,0,0,0.013146
8067389-33.2025.8.09.6205,GO,1,1,1,1,0,1,1,0,0.053898
5670220-02.2025.8.16.3360,PR,1,1,1,0,1,0,1,1,0.168777
4488778-24.2025.8.05.0365,BA,1,1,1,1,1,1,1,0,0.055535
3285286-56.2025.8.06.1086,CE,1,1,1,1,1,1,1,0,0.040614
3977227-33.2025.8.26.3787,SP,1,0,0,0,1,1,1,1,0.986437
2193662-31.2025.8.21.5489,RS,1,0,1,1,0,1,0,1,0.614511
7254509-93.2025.8.13.6622,MG,1,0,0,0,1,1,1,1,0.987806
4111030-08.2025.8.19.2954,RJ,1,1,1,1,1,1,1,0,0.058518
9474303-36.2025.8.11.5936,MT,0,1,1,1,0,1,1,0,0.011989
5745565-79.2025.8.08.6679,ES,1,1,1,0,1,1,1,0,0.169481
8265089-30.2025.8.05.0968,BA,1,0,1,0,0,0,1,1,0.877971
7482626-28.2025.8.21.5864,RS,1,1,1,1,1,1,1,0,0.066010
5722231-63.2025.8.12.6403,MS,1,1,1,1,0,1,1,0,0.034363
4375572-31.2025.8.03.7754,AP,0,0,1,1,1,0,1,1,0.574995
1126172-80.2025.8.25.1383,SE,1,0,1,0,1,1,1,1,0.790810
