uf,n_perdas,severidade,ic95_inf,ic95_sup
AP,1099,0.847480,0.841407,0.853552
AM,1090,0.846064,0.839732,0.852396
BA,804,0.806468,0.797379,0.815556
RS,851,0.735464,0.725746,0.745182
GO,856,0.731671,0.721015,0.742327
SP,705,0.697007,0.682957,0.711057
SC,624,0.695497,0.680650,0.710343
RO,585,0.695197,0.679706,0.710687
PI,517,0.692882,0.677451,0.708313
RN,550,0.692491,0.676695,0.708287
PR,582,0.692148,0.676720,0.707576
AC,626,0.692077,0.676735,0.707418
AL,703,0.691878,0.677404,0.706352
TO,559,0.691825,0.675983,0.707667
DF,747,0.687590,0.673822,0.701359
PB,647,0.687403,0.672624,0.702182
PE,693,0.686999,0.672812,0.701185
RJ,785,0.686637,0.673457,0.699817
CE,649,0.686456,0.671981,0.700931
PA,638,0.685502,0.670713,0.700291
ES,759,0.684638,0.670830,0.698446
MG,682,0.683358,0.668286,0.698429
SE,659,0.672656,0.657771,0.687540
MS,570,0.615965,0.597234,0.634696
MT,537,0.610503,0.591051,0.629955
MA,470,0.608745,0.588006,0.629483
