uf,sub_assunto,n_perdas,severidade,ic95_inf,ic95_sup
AC,generico,110,0.640909,0.602885,0.678933
AC,golpe,516,0.702984,0.686364,0.719605
AL,generico,116,0.564741,0.530359,0.599124
AL,golpe,587,0.717002,0.701848,0.732155
AM,generico,229,0.809258,0.793493,0.825022
AM,golpe,861,0.855854,0.849167,0.862540
AP,generico,213,0.810563,0.794983,0.826144
AP,golpe,886,0.856354,0.849950,0.862758
BA,generico,165,0.765697,0.744476,0.786918
BA,golpe,639,0.816995,0.807112,0.826878
CE,generico,117,0.634701,0.600491,0.668911
CE,golpe,532,0.697838,0.682011,0.713666
DF,generico,143,0.615664,0.585048,0.646281
DF,golpe,604,0.704619,0.689514,0.719724
ES,generico,157,0.642803,0.613699,0.671906
ES,golpe,602,0.695548,0.679986,0.711110
GO,generico,169,0.659941,0.634492,0.685390
GO,golpe,687,0.749316,0.737981,0.760651
MA,generico,53,0.533774,0.481574,0.585973
MA,golpe,417,0.618273,0.596007,0.640540
MG,generico,117,0.627607,0.589672,0.665541
MG,golpe,565,0.694903,0.678640,0.711166
MS,generico,79,0.515063,0.466502,0.563625
MS,golpe,491,0.632200,0.612259,0.652141
MT,generico,60,0.507833,0.453329,0.562338
MT,golpe,477,0.623417,0.602891,0.643943
PA,generico,100,0.621500,0.582184,0.660816
PA,golpe,538,0.697398,0.681642,0.713153
PB,generico,107,0.624206,0.588161,0.660250
PB,golpe,540,0.699926,0.683918,0.715934
PE,generico,114,0.638246,0.605364,0.671127
PE,golpe,579,0.696598,0.681007,0.712188
PI,generico,73,0.650274,0.612345,0.688203
PI,golpe,444,0.699887,0.683110,0.716665
PR,generico,68,0.642059,0.599576,0.684542
PR,golpe,514,0.698774,0.682305,0.715244
RJ,generico,158,0.631772,0.602522,0.661023
RJ,golpe,627,0.700463,0.685886,0.715039
RN,generico,80,0.632625,0.588860,0.676390
RN,golpe,470,0.702681,0.685917,0.719445
RO,generico,93,0.629785,0.589274,0.670295
RO,golpe,492,0.707561,0.691017,0.724105
RS,generico,157,0.666433,0.643245,0.689621
RS,golpe,694,0.751081,0.740721,0.761440
SC,generico,105,0.656762,0.616466,0.697058
SC,golpe,519,0.703333,0.687520,0.719147
SE,generico,100,0.605900,0.567320,0.644480
SE,golpe,559,0.684597,0.668651,0.700544
SP,generico,115,0.635565,0.597224,0.673907
SP,golpe,590,0.708983,0.694126,0.723840
TO,generico,79,0.647722,0.607262,0.688181
TO,golpe,480,0.699083,0.681948,0.716219
