chave,modelo,parametros,rmse_cv,rmse_cv_desvio,mae_cv,r2_cv,rmse_pp_cv,rmse_aparente,rmse_oob,rmse_632mais,taxa_sobreajuste,delta_rmse_oob_vs_percentual_medio,delta_ic95_inf,delta_ic95_sup,prob_melhor_que_percentual_medio
floresta,"Floresta aleatória (bagging de árvores): percentual ~ subsídios, sub-assunto, UF, P(perda)",34,986.648885,6.713248,821.135295,0.662310,6.226009,896.565526,999.095185,963.798370,0.048690,14.100836,-33.232177,75.909172,0.322000
mq_pct_p,MQO: percentual ~ P(perda),2,981.644073,2.782175,816.777988,0.665739,6.130083,974.753652,985.271814,981.427506,0.005420,0.595395,-15.096103,33.798021,0.620000
pct_medio,Percentual médio × valor da causa,1,982.677912,1.389109,819.350900,0.665036,6.138153,979.455758,984.643837,982.741058,0.002692,0.000000,0.000000,0.000000,
mq_valor_ce,MQO: valor ~ causa + condenação esperada,3,985.073433,4.514620,819.096318,0.663395,6.148735,974.111314,991.519481,985.184896,0.008847,6.827605,-14.057148,53.931615,0.419000
mq_valor_causa,MQO: valor ~ causa,2,985.282573,2.054245,821.187114,0.663258,6.156895,979.144971,989.988722,986.026092,0.005549,5.220321,-5.624609,31.139157,0.267000
pct_por_sub,Percentual médio por sub-assunto × causa,2,987.370640,2.858858,821.529011,0.661828,6.156473,980.578871,991.358471,987.419374,0.005625,6.670104,-2.023903,38.345620,0.199000
mq_pct_dg,MQO: percentual ~ subsídios + sub-assunto,8,999.660946,8.605255,826.337926,0.653335,6.256619,964.707801,1007.437904,992.146617,0.022022,22.927797,-16.399378,83.235877,0.166000
bagging_dg,Bagging (100 reamostragens) de MQO: percentual ~ subsídios + sub-assunto,8,999.639194,8.918846,826.225890,0.653348,6.256223,965.111217,1007.480451,992.315277,0.021900,22.948637,-16.040316,80.953460,0.178000
pct_mediano,Percentual mediano × valor da causa,1,991.491493,3.228781,821.448732,0.658998,6.185055,989.341737,996.668248,993.985100,0.003947,11.895440,-11.252636,63.737267,0.269000
ridge,Ridge: percentual ~ subsídios + sub-assunto + UF + P(perda),34,985.732642,3.412106,820.737317,0.662948,6.158784,970.405785,1019.892275,1002.264328,0.025896,35.350743,-19.798031,128.434020,0.189000
mq_pct_dgu,MQO: percentual ~ subsídios + sub-assunto + UF,33,1068.093959,24.210692,846.166873,0.604082,6.657055,913.980144,1102.578245,1041.296482,0.093626,117.920389,12.594693,248.897779,0.015000
media_valor,Média do valor acordado,1,1705.120918,5.163145,1404.561340,-0.008529,16.653966,1697.902937,1706.682741,1697.902937,0.000000,720.618728,562.731946,879.606211,0.000000
