uf,n,taxa_perda,causa_media,condenacao_media,condenacao_media_se_perder,severidade_se_perder
AC,2297,0.2725,14995.2334,2829.4254,10382.0928,0.6921
AL,2298,0.3059,15074.7136,3174.6125,10377.3249,0.6919
AM,2287,0.4766,14934.0171,6036.3967,12665.3571,0.8461
AP,2290,0.4799,14830.5190,5952.1170,12402.5003,0.8475
BA,2294,0.3505,14854.2580,4202.9700,11992.0563,0.8065
CE,2302,0.2819,14952.0936,2893.9235,10264.7332,0.6865
DF,2301,0.3246,14911.8235,3319.9091,10226.3867,0.6876
ES,2299,0.3301,15050.9180,3443.6719,10430.8324,0.6846
GO,2292,0.3735,15142.4298,4076.4618,10915.0121,0.7317
MA,2298,0.2045,14928.3298,1865.0407,9118.8586,0.6087
MG,2299,0.2967,15004.4052,3040.0544,10247.9252,0.6834
MS,2295,0.2484,14840.5513,2223.0633,8950.7551,0.6160
MT,2301,0.2334,15051.8149,2127.3748,9115.6229,0.6105
PA,2300,0.2774,14803.5851,2856.6495,10298.2663,0.6855
PB,2295,0.2819,14984.6228,2865.6915,10165.0107,0.6874
PE,2297,0.3017,15215.5605,3265.2210,10822.8178,0.6870
PI,2303,0.2245,15083.9206,2413.2655,10750.0010,0.6929
PR,2300,0.2530,15033.8297,2597.6388,10265.5830,0.6921
RJ,2290,0.3428,15013.7512,3534.6375,10311.2356,0.6866
RN,2300,0.2391,15106.0623,2548.0197,10655.3551,0.6925
RO,2299,0.2545,14972.3809,2640.2319,10375.8857,0.6952
RS,2288,0.3719,14780.3548,4065.2061,10929.7199,0.7355
SC,2298,0.2715,14971.1469,2845.7037,10479.8513,0.6955
SE,2298,0.2868,14886.4572,2906.8072,10136.3321,0.6727
SP,2299,0.3067,15004.2183,3190.3671,10403.7646,0.6970
TO,2300,0.2430,15080.7059,2585.9118,10639.7086,0.6918
