uf,log_odds,erro_padrao,ic95_inf,ic95_sup,distinguivel_de_zero,p_perda_ajustada
AP,0.825530,0.062483,0.703065,0.947995,True,0.384201
AM,0.744052,0.063091,0.620396,0.867707,True,0.375174
RS,0.377232,0.063665,0.252451,0.502013,True,0.336492
GO,0.305409,0.065357,0.177312,0.433506,True,0.329273
RJ,0.293005,0.065248,0.165121,0.420890,True,0.328037
ES,0.201311,0.065185,0.073552,0.329071,True,0.319002
DF,0.165566,0.065713,0.036772,0.294361,True,0.315527
BA,0.150846,0.066118,0.021257,0.280434,True,0.314103
PE,0.046082,0.066389,-0.084038,0.176202,False,0.304098
MG,0.017149,0.066480,-0.113148,0.147447,False,0.301372
AL,0.015769,0.066609,-0.114782,0.146319,False,0.301243
SE,-0.012030,0.067660,-0.144641,0.120582,False,0.298640
SP,-0.018258,0.066764,-0.149113,0.112597,False,0.298059
CE,-0.081740,0.067400,-0.213842,0.050361,False,0.292180
PB,-0.095475,0.067868,-0.228494,0.037543,False,0.290918
SC,-0.098841,0.068449,-0.232998,0.035316,False,0.290609
PA,-0.104208,0.068188,-0.237855,0.029438,False,0.290117
AC,-0.206500,0.068054,-0.339883,-0.073117,True,0.280846
TO,-0.241765,0.069687,-0.378349,-0.105180,True,0.277695
RN,-0.252385,0.070445,-0.390454,-0.114316,True,0.276750
RO,-0.269175,0.069409,-0.405213,-0.133136,True,0.275261
MT,-0.285687,0.069051,-0.421025,-0.150349,True,0.273802
MS,-0.294988,0.069986,-0.432157,-0.157819,True,0.272982
PR,-0.305748,0.069544,-0.442053,-0.169444,True,0.272036
PI,-0.416816,0.071767,-0.557478,-0.276155,True,0.262388
MA,-0.458334,0.072680,-0.600785,-0.315883,True,0.258838
