reamostragem,media_valor,pct_medio,pct_mediano,mq_valor_causa,pct_por_sub,mq_pct_p,mq_valor_ce,mq_pct_dg,mq_pct_dgu,ridge,bagging_dg,floresta
0,1712.27,1002.66,1033.70,1024.28,1002.99,990.63,1012.43,1004.48,1070.28,988.47,1003.72,993.14
1,1779.46,974.19,983.75,973.18,974.68,990.43,1005.64,1007.39,1088.45,1030.37,1006.24,1007.88
2,1688.27,922.11,930.97,925.05,923.00,953.60,957.90,979.06,1080.11,979.12,977.23,967.02
3,1777.01,1058.69,1059.38,1067.67,1057.79,1054.40,1072.62,1075.27,1174.18,1057.54,1075.19,1040.45
4,1686.66,971.41,1025.62,961.73,970.43,984.78,973.49,996.15,1041.14,986.24,994.83,969.92
5,1678.52,1058.71,1038.06,1060.12,1062.69,1059.32,1059.57,1056.64,1105.30,1061.81,1058.71,1073.97
6,1750.00,1041.77,1040.20,1043.08,1041.64,1036.32,1035.69,1023.96,1085.54,1024.12,1020.84,1031.93
7,1608.64,898.19,921.61,903.76,900.03,902.85,912.07,921.01,1186.46,1057.42,923.27,912.09
8,1873.54,993.95,1016.95,1006.63,995.85,991.36,1004.08,1048.05,1150.27,1052.91,1049.30,1018.70
9,1925.03,1014.06,1046.47,1031.81,1015.05,1010.67,1030.90,1005.39,1064.32,1010.10,1004.93,1035.87
10,1844.29,1072.87,1086.11,1073.00,1077.36,1068.30,1066.77,1064.98,1205.07,1112.96,1064.06,1055.24
11,1688.40,927.14,922.67,933.53,932.10,916.81,925.63,941.25,1016.03,935.98,937.45,916.91
12,1798.34,1022.38,1083.77,1024.97,1057.20,1025.90,1026.28,1078.81,1104.38,1038.68,1079.93,1047.72
13,1654.07,907.03,926.39,911.43,916.87,901.68,903.52,912.43,1052.87,985.78,911.55,921.40
14,1665.63,980.35,983.44,982.37,980.94,1016.81,1026.05,1029.80,1018.86,1000.15,1025.07,1048.80
15,1706.06,994.65,1018.66,995.19,996.56,995.12,1002.33,981.03,1115.41,999.07,979.13,964.41
16,1655.10,993.51,981.66,991.34,994.83,990.17,988.62,1060.51,1135.25,1036.55,1061.57,1030.12
17,1680.08,982.68,1000.90,982.35,982.59,977.03,975.04,966.47,1033.49,960.29,967.56,971.83
18,1785.44,993.97,1002.43,992.23,993.90,993.47,1005.64,1026.69,1150.88,1016.43,1021.00,1008.68
19,1659.77,978.76,974.25,996.19,978.92,978.06,984.84,970.34,1059.32,978.56,968.81,996.06
20,1710.31,991.08,1006.99,988.14,1024.25,983.37,979.73,1052.64,1200.78,1088.59,1050.58,1025.77
21,1607.45,936.23,936.15,936.24,936.20,932.07,932.08,958.05,1120.10,1030.37,958.87,950.02
22,1708.47,1033.21,1032.27,1067.74,1043.44,1031.23,1060.98,1044.16,1112.15,1030.21,1042.45,1024.59
23,1768.39,959.42,950.16,970.03,959.44,958.44,970.90,968.24,976.55,957.72,963.82,973.42
24,1726.01,992.96,999.14,993.22,997.56,989.50,991.07,998.30,1055.37,1010.96,997.22,989.45
25,1591.71,985.38,980.73,1006.94,985.45,1005.07,1034.72,1016.86,1124.00,1026.80,1011.58,1061.53
26,1766.01,995.69,987.04,997.21,994.17,992.24,994.54,981.20,1131.16,1012.09,980.45,1023.63
27,1767.52,990.83,993.27,992.89,991.44,986.87,987.22,1013.44,1098.00,989.05,1014.94,991.40
28,1687.38,1048.00,1072.97,1048.69,1047.85,1051.86,1054.93,1039.76,1102.37,1046.65,1041.37,1033.32
29,1651.95,1006.47,1013.54,1018.33,1006.51,1007.22,1020.92,1055.56,1083.54,1020.29,1058.98,1001.25
30,1761.76,979.83,999.57,989.22,989.62,975.81,983.82,989.74,1057.02,978.03,989.98,986.96
31,1750.42,954.14,966.33,952.13,954.34,939.33,936.51,966.91,993.74,930.71,964.69,956.43
32,1745.14,916.17,943.91,919.66,917.17,927.62,941.23,909.70,953.95,915.57,909.48,973.93
33,1715.16,881.59,880.85,918.53,882.85,894.81,933.61,887.35,1026.98,945.37,887.85,897.94
34,1721.12,1032.18,1047.23,1027.53,1036.17,1030.16,1027.71,1015.85,1172.13,998.94,1017.47,998.95
