grupo,acordos,valor_medio,percentual_medio,causa_media,condenacao_esperada_media,condenacao_esperada_pct_causa,fracao_acordo_abaixo_da_condenacao_esperada,recorte
genérico,55,4703.5016,29.3636,15789.7673,6779.4844,43.6292,0.7455,sub-assunto
golpe,225,4499.6299,29.8844,15066.8227,7677.2379,50.9723,0.7867,sub-assunto
0–3,147,4450.7788,29.2993,15157.8535,9678.2384,63.7332,0.9660,nº de subsídios
4,82,4738.3892,30.4756,15511.4930,6522.8554,42.2915,0.6829,nº de subsídios
5,39,4401.7745,30.0769,14727.7818,3480.4116,25.2679,0.5128,nº de subsídios
6,12,4718.9752,30.0000,15328.4933,578.2442,3.8542,0.0000,nº de subsídios
<20%,41,5011.8042,30.9268,16112.4990,943.0831,6.1802,0.0000,P(perda)
20–50%,30,4686.8365,31.0667,15025.4570,4077.6956,27.2618,0.4000,P(perda)
50–80%,61,4220.4057,29.4426,14405.8330,6637.0410,45.5966,0.9508,P(perda)
≥80%,148,4510.6453,29.3446,15326.6238,10367.5230,67.6739,1.0000,P(perda)
todos,280,4539.6761,29.7821,15208.8296,7500.8935,49.5299,0.7786,todos
