variavel,teste,n_com,n_sem,percentual_medio_com,percentual_medio_sem,diferenca_pp,p_valor,spearman,pearson,p_valor_bonferroni
contrato,Welch,73.000000,207.000000,31.178082,29.289855,1.888227,0.026207,,,0.314486
extrato,Welch,141.000000,139.000000,29.666667,29.899281,-0.232614,0.751470,,,1.000000
comprovante,Welch,129.000000,151.000000,30.093023,29.516556,0.576467,0.431040,,,1.000000
dossie,Welch,199.000000,81.000000,29.708543,29.962963,-0.254420,0.757807,,,1.000000
demonstrativo,Welch,205.000000,75.000000,29.956098,29.306667,0.649431,0.454053,,,1.000000
laudo,Welch,222.000000,58.000000,29.675676,30.189655,-0.513979,0.574144,,,1.000000
golpe,Welch,225.000000,55.000000,29.884444,29.363636,0.520808,0.572652,,,1.000000
p_perda,Spearman,,,,,,0.158813,-0.084436,-0.097312,1.000000
condenacao_esperada,Spearman,,,,,,0.224533,-0.072813,-0.067187,1.000000
causa,Spearman,,,,,,0.407097,0.049735,0.036243,1.000000
n_subsidios,Spearman,,,,,,0.238588,0.070658,0.062379,1.000000
uf,Kruskal-Wallis,,,,,,0.309531,,,1.000000
